,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,san patricio,19.22,-104.7,86.0,74,40,1.95,MX,1600881527
173,lalmohan,22.34,90.74,83.48,84,100,12.48,BD,1600881527
174,luanda,-8.84,13.23,77.0,73,20,9.17,AO,1600881242
175,kampong chhnang,12.17,104.55,76.32,90,41,3.89,KH,1600881527
176,la rochelle,46.17,-1.15,66.2,82,20,18.34,FR,1600881528
177,pemangkat,1.17,108.97,77.85,87,98,3.87,ID,1600881528
178,salalah,17.02,54.09,80.6,88,90,9.17,OM,1600881528
179,nelson bay,-32.72,152.15,57.0,76,0,9.17,AU,1600881528
180,azanka,58.04,64.79,44.11,86,99,13.44,RU,1600881529
181,mahibadhoo,3.78,72.97,82.33,77,93,10.31,MV,1600881529
182,dumas,35.87,-101.97,77.0,56,1,1.9,US,1600881530
183,hami,42.8,93.45,69.8,27,20,7.54,CN,1600881530
184,guiyang,26.58,106.72,60.8,93,90,4.47,CN,1600881530
186,bonfim,3.08,-59.95,92.25,51,50,8.23,BR,1600881231
187,walvis bay,-22.96,14.51,55.99,87,40,6.93,NA,1600881357
188,oranjemund,-28.55,16.43,65.84,48,0,14.52,NA,1600881531
189,provideniya,64.38,-173.3,36.81,81,5,3.76,RU,1600881531
190,berlevag,70.86,29.09,44.6,70,75,14.99,NO,1600881531
191,soubre,5.79,-6.61,77.85,92,73,4.29,CI,1600881532
192,cidreira,-30.18,-50.21,66.69,66,4,11.07,BR,1600881532
193,inirida,3.87,-67.92,92.8,52,63,1.95,CO,1600881532
194,lock haven,41.14,-77.45,81.0,54,0,5.99,US,1600881313
195,avarua,-21.21,-159.78,73.4,94,95,8.05,CK,1600881532
196,ormara,25.21,64.64,86.99,50,88,8.7,PK,1600881532
197,koslan,63.46,48.9,41.72,86,55,5.84,RU,1600881532
198,soledar,48.68,38.09,63.99,29,0,5.73,UA,1600881533
199,galle,6.04,80.22,79.52,86,49,7.45,LK,1600881533
200,champerico,14.3,-91.92,87.8,62,40,6.93,GT,1600881533
201,huarmey,-10.07,-78.15,68.13,67,68,8.21,PE,1600881533
202,lyngdal,58.14,7.07,59.0,87,100,3.0,NO,1600881534
203,port hardy,50.7,-127.42,55.4,93,90,4.7,CA,1600881534
204,adrar,20.5,-10.07,101.34,16,10,14.34,MR,1600881534
205,port blair,11.67,92.75,81.55,82,100,7.81,IN,1600881534
206,asau,46.43,26.4,57.99,84,3,0.58,RO,1600881534
207,arraial do cabo,-22.97,-42.03,75.2,64,75,11.41,BR,1600881535
208,porto novo,6.5,2.6,80.6,83,40,9.17,BJ,1600881535
210,daru,-9.08,143.21,77.38,85,99,12.86,PG,1600881535
211,westport,41.14,-73.36,75.99,44,1,10.29,US,1600881278
212,alice springs,-23.7,133.88,53.6,34,0,8.19,AU,1600881536
213,chicama,-7.84,-79.15,73.09,58,71,9.71,PE,1600881536
214,arlit,18.74,7.39,100.6,10,0,16.13,NE,1600881536
215,bidor,4.11,101.29,82.0,94,40,2.24,MY,1600881264
216,palmer,42.16,-72.33,75.2,44,20,10.29,US,1600881537
217,totma,59.97,42.76,44.6,79,62,3.89,RU,1600881537
218,isangel,-19.55,169.27,70.45,84,5,9.51,VU,1600881537
219,savannah bight,16.45,-85.85,84.33,69,22,6.69,HN,1600881537
220,mount isa,-20.73,139.5,71.6,24,1,9.17,AU,1600881538
221,salym,60.06,71.48,41.38,91,100,7.54,RU,1600881538
222,seoul,37.57,126.98,66.2,59,90,4.7,KR,1600881419
223,coaldale,49.72,-112.62,57.2,71,75,9.17,CA,1600881309
226,mizdah,31.45,12.98,90.84,18,72,3.24,LY,1600881539
227,namibe,-15.2,12.15,64.62,87,30,11.59,AO,1600881539
228,tasiilaq,65.61,-37.64,33.8,50,20,3.36,GL,1600881539
229,ambon,-3.7,128.18,79.23,86,83,6.96,ID,1600881539
230,tashtyp,52.79,89.9,38.93,89,55,3.15,RU,1600881539
231,tornio,65.85,24.15,53.6,87,100,16.11,FI,1600881540
232,swan river,52.11,-101.27,55.11,59,64,6.69,CA,1600881540
233,muli,2.92,73.57,82.6,77,86,11.74,MV,1600881540
234,kibondo,-3.59,30.72,74.8,35,58,1.45,TZ,1600881540
235,san andres,12.58,-81.7,87.8,74,40,6.93,CO,1600881541
236,kyshtovka,56.55,76.63,43.47,92,100,15.03,RU,1600881541
237,grindavik,63.84,-22.43,39.2,69,75,19.46,IS,1600881290
238,surab,28.49,66.26,68.47,24,0,5.97,PK,1600881542
239,padang,-0.95,100.35,75.79,83,100,4.52,ID,1600881542
240,tripoli,32.88,13.19,90.52,37,0,8.3,LY,1600881542
241,general pico,-35.66,-63.76,79.54,26,51,11.54,AR,1600881543
242,gornyy,55.12,83.91,42.85,81,76,12.53,RU,1600881543
243,nishihara,26.18,127.76,80.6,88,20,1.12,JP,1600881543
244,kavieng,-2.57,150.8,82.18,68,72,8.61,PG,1600881544
245,penzance,50.12,-5.54,55.0,81,40,11.41,GB,1600881544
246,pochutla,15.74,-96.47,91.0,66,5,4.5,MX,1600881544
247,buluang,13.31,123.34,78.93,85,63,3.0,PH,1600881544
248,kathu,7.92,98.33,86.0,94,20,9.24,TH,1600881544
249,exeter,50.72,-3.53,59.0,62,20,17.22,GB,1600881370
250,bayan,46.08,127.4,51.37,96,3,9.24,CN,1600881545
251,naze,28.37,129.48,78.8,94,90,2.24,JP,1600881545
252,sungaipenuh,-2.08,101.38,66.88,92,98,0.65,ID,1600881545
253,bubaque,11.28,-15.83,81.57,80,21,11.99,GW,1600881545
254,brae,60.4,-1.35,51.8,62,20,1.12,GB,1600881546
255,praia da vitoria,38.73,-27.07,70.0,88,75,22.03,PT,1600881450
256,sabha,27.04,14.43,86.43,17,0,6.38,LY,1600881546
257,arawa,-6.21,155.54,76.66,75,93,2.53,PG,1600881546
258,belyy yar,53.6,91.39,46.4,81,95,4.47,RU,1600881546
259,methoni,36.82,21.7,79.0,69,35,4.32,GR,1600881547
260,mehamn,71.04,27.85,42.8,75,75,14.99,NO,1600881319
261,saldanha,-33.01,17.94,66.2,63,0,11.41,ZA,1600881547
263,lyubar,49.92,27.76,58.77,46,51,7.38,UA,1600881547
264,tecolutla,20.48,-97.02,84.2,66,5,4.05,MX,1600881547
265,teya,60.38,92.63,47.37,91,100,3.15,RU,1600881548
266,edgewater,28.99,-80.9,82.99,61,75,8.05,US,1600881548
267,auki,-8.77,160.7,77.38,83,41,4.43,SB,1600881548
268,registro,-24.49,-47.84,69.49,83,96,3.47,BR,1600881549
269,mantua,45.17,10.78,73.0,80,47,3.65,IT,1600881549
270,merauke,-8.47,140.33,77.32,84,85,11.1,ID,1600881549
271,eirunepe,-6.66,-69.87,90.28,42,86,5.23,BR,1600881549
272,port hedland,-20.32,118.57,69.8,37,16,6.93,AU,1600881549
273,carutapera,-1.2,-46.02,86.9,58,18,11.45,BR,1600881550
274,meadow lake,34.8,-106.54,81.0,27,20,8.05,US,1600881550
275,broome,42.25,-75.83,75.0,52,40,14.99,US,1600881550
276,leningradskiy,69.38,178.42,35.1,94,100,14.23,RU,1600881550
277,saint-leu,-21.15,55.28,68.0,68,12,4.7,RE,1600881551
278,kenai,60.55,-151.26,51.01,81,90,11.41,US,1600881551
279,nova prata,-28.78,-51.61,73.99,51,0,5.99,BR,1600881551
280,katsuura,35.13,140.3,66.2,93,75,24.16,JP,1600881551
281,bilma,18.69,12.92,96.01,12,0,5.17,NE,1600881551
